date,min,max,mean
2012-01-01,0.445,60.159,12.536492795389048
2012-01-02,0.463,65.824,12.864265129682996
2012-01-03,0.464,64.652,12.893674351585016
2012-01-04,0.838,68.02,12.829674351585014
2012-01-05,0.764,63.598,12.980193083573488
2012-01-06,0.445,76.663,12.562766570605186
2012-01-07,0.45,79.194,12.389391930835734
2012-01-08,0.537,83.707,13.141824207492794
2012-01-09,0.48,72.55,12.286959654178673
2012-01-10,0.449,85.789,11.92042074927954
2012-01-11,0.45,72.931,11.865109510086455
2012-01-12,0.466,71.228,11.98957636887608
2012-01-13,0.448,81.069,12.439443804034582
2012-01-14,0.887,73.107,13.224354466858788
2012-01-15,0.884,78.906,13.894495677233431
2012-01-16,1.409,79.022,13.107340057636888
2012-01-17,1.308,80.357,13.043305475504322
2012-01-18,1.0,71.543,12.569953890489915
2012-01-19,0.447,72.137,12.202864553314122
2012-01-20,0.498,99.666,12.631899135446687
2012-01-21,0.446,97.101,12.506873198847263
2012-01-22,0.445,97.408,13.60542363112392
2012-01-23,0.447,96.384,12.713974063400576
2012-01-24,0.444,96.309,12.817585014409223
2012-01-25,0.65,96.004,12.493962536023053
2012-01-26,1.176,95.751,12.314412103746397
2012-01-27,0.446,95.083,12.361121037463978
2012-01-28,0.445,95.646,12.869005763688762
2012-01-29,1.155,95.288,13.811622478386166
2012-01-30,0.445,58.638,13.278668587896254
2012-01-31,1.12,70.801,13.613403458213256
2012-02-01,1.069,60.936,13.615478386167148
2012-02-02,1.043,67.653,13.89877521613833
2012-02-03,0.762,72.657,14.061109510086455
2012-02-04,0.421,85.415,14.578097982708934
2012-02-05,0.711,62.823,15.603279538904898
2012-02-06,0.729,64.485,13.784685878962536
2012-02-07,0.724,68.975,13.597417867435158
2012-02-08,0.479,69.74,14.843095100864554
2012-02-09,0.613,62.375,13.929328530259365
2012-02-10,0.595,69.778,14.025772334293949
2012-02-11,0.717,70.587,14.226155619596542
2012-02-12,0.731,75.992,14.905524495677232
2012-02-13,0.565,61.658,13.276610951008646
2012-02-14,0.444,62.146,12.838631123919308
2012-02-15,0.452,59.498,12.765487031700287
2012-02-16,0.442,60.929,11.896959654178675
2012-02-17,0.441,58.858,11.84821613832853
2012-02-18,0.599,55.382,12.17628818443804
2012-02-19,0.502,75.99,13.038328530259367
2012-02-20,0.164,58.456,12.672469740634005
2012-02-21,0.495,56.687,11.864331412103745
2012-02-22,0.448,60.924,12.060985590778099
2012-02-23,1.175,56.165,11.198665706051873
2012-02-24,0.694,66.449,11.116492795389048
2012-02-25,0.443,61.051,11.600680115273775
2012-02-26,0.507,58.367,12.006106628242074
2012-02-27,1.002,58.373,11.819276657060518
2012-02-28,1.02,66.428,11.04971757925072
2012-02-29,0.888,53.292,10.997662824207492
2012-03-01,1.07,53.578,10.72542939481268
2012-03-02,0.897,80.487,11.240184438040346
2012-03-03,0.838,63.359,11.311887608069163
2012-03-04,0.898,64.405,12.943331412103747
2012-03-05,0.456,59.611,11.950302593659943
2012-03-06,0.458,73.855,12.14770893371758
2012-03-07,0.455,70.308,11.69892219020173
2012-03-08,0.723,58.709,11.224706051873198
2012-03-09,0.461,66.398,11.529878962536023
2012-03-10,0.559,60.042,11.47406340057637
2012-03-11,0.573,56.369,11.745195965417867
2012-03-12,0.922,52.41,10.664976945244957
2012-03-13,0.489,60.494,10.800412103746398
2012-03-14,0.54,54.033,10.60921902017291
2012-03-15,0.522,56.428,10.785331412103748
2012-03-16,0.459,76.892,11.257899135446685
2012-03-17,0.661,73.928,11.710942363112393
2012-03-18,0.456,58.288,11.840121037463977
2012-03-19,0.682,53.98,10.850109510086455
2012-03-20,0.451,56.975,10.469867435158502
2012-03-21,0.646,55.48,10.458374639769453
2012-03-22,0.712,54.215,10.242247838616715
2012-03-23,0.443,71.011,10.125504322766572
2012-03-24,0.832,51.107,10.309487031700288
2012-03-25,0.727,50.808,10.776760806916426
2012-03-26,0.446,54.178,9.959671469740634
2012-03-27,0.445,53.092,9.431812680115273
2012-03-28,0.549,51.144,9.45765129682997
2012-03-29,0.454,50.159,9.500293948126801
2012-03-30,0.444,39.445,9.474821325648415
2012-03-31,0.444,41.674,10.27257636887608
2012-04-01,0.524,46.689,10.670746397694524
2012-04-02,0.444,49.923,9.897008645533141
2012-04-03,0.498,53.998,10.238948126801153
2012-04-04,0.574,53.68,10.227187319884726
2012-04-05,0.445,51.197,10.824628242074928
2012-04-06,0.443,69.038,10.763613832853027
2012-04-07,0.444,45.1,10.337198847262247
2012-04-08,0.066,47.661,10.518268011527377
2012-04-09,0.404,57.31,10.512524495677233
2012-04-10,0.311,49.206,9.897662824207494
2012-04-11,0.31,46.185,9.848083573487031
2012-04-12,0.701,49.819,10.06235158501441
2012-04-13,0.31,50.547,10.489008645533142
2012-04-14,0.326,60.861,10.27493371757925
2012-04-15,0.316,55.452,11.531965417867436
2012-04-16,0.385,73.525,10.62048703170029
2012-04-17,0.651,76.193,11.156345821325647
2012-04-18,0.854,89.442,11.090158501440921
2012-04-19,0.645,82.818,10.978951008645533
2012-04-20,0.316,62.75,10.558561959654178
2012-04-21,0.287,58.773,10.496048991354467
2012-04-22,0.34,65.506,11.261838616714698
2012-04-23,0.004,79.214,10.841259365994237
2012-04-24,0.511,83.219,10.433953890489914
2012-04-25,0.505,73.867,11.010184438040346
2012-04-26,0.888,74.958,10.590253602305475
2012-04-27,0.198,53.48,10.218265129682997
2012-04-28,0.341,62.933,10.86599711815562
2012-04-29,0.342,68.491,11.922688760806915
2012-04-30,0.513,52.664,10.142576368876082
