"시점",총지수,식료품 및 비주류음료,주류·담배,의복·신발,주택·수도·전기 및 연료,가정용품 및 가사서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
"2022. 05",106.29,110.88,103.30,103.54,104.83,106.25,100.53,114.46,99.78,102.57,102.55,109.36,107.38
"2022. 06",106.85,110.74,103.18,103.54,105.19,106.51,100.56,117.61,99.80,103.45,102.83,110.13,108.47
"2022. 07",107.47,112.93,103.27,103.69,105.19,106.93,100.54,117.97,99.83,104.57,102.98,111.50,108.99
"2022. 08",107.65,114.22,103.46,103.83,105.53,107.37,100.68,113.99,99.84,105.43,103.21,112.50,109.06
"2022. 09",107.78,115.27,103.14,103.80,106.44,106.92,100.37,112.01,100.12,104.41,103.28,112.58,109.48
"2022. 10",108.12,113.56,103.27,103.90,108.13,107.58,100.85,111.84,100.96,104.43,103.30,112.88,109.75
"2022. 11",108.00,111.22,103.20,106.85,108.03,108.09,100.83,111.62,100.96,104.39,103.30,113.00,110.28
"2022. 12",108.46,112.71,103.48,107.15,108.25,108.73,100.67,110.60,100.96,105.42,103.59,113.85,111.43
"2023. 01",109.22,114.53,103.10,107.43,109.24,109.82,101.81,109.98,100.96,106.14,103.89,114.28,113.10
"2023. 02",109.60,114.89,103.75,107.51,109.72,110.85,102.02,109.91,100.97,106.15,104.20,115.13,113.36
"2023. 03",109.77,115.65,103.79,107.87,109.37,111.13,102.06,109.44,100.99,106.44,104.85,115.62,113.94
"2023. 04",109.94,114.89,103.82,107.87,109.42,112.08,101.64,109.90,101.00,106.98,104.84,116.65,114.73
"2023. 05",110.37,115.45,103.65,111.51,109.82,112.88,101.71,109.77,101.00,107.27,104.87,117.02,114.22
"2023. 06",110.50,116.03,104.02,111.41,110.12,112.67,102.04,108.49,101.01,107.51,104.87,117.29,114.44
"2023. 07",110.63,117.13,104.04,111.53,109.28,112.98,102.14,108.88,101.01,108.11,105.01,117.92,114.78
"2023. 08",111.69,120.71,104.02,111.63,109.43,113.42,102.31,114.63,101.02,108.37,105.04,118.46,115.23
"2023. 09",112.08,122.61,103.71,111.60,110.31,113.32,102.24,115.12,101.23,108.10,105.05,117.89,115.36
"2023. 10",112.51,123.66,104.04,112.28,110.61,113.80,102.31,117.13,101.24,108.22,105.05,118.00,115.36
"2023. 11",111.98,119.94,105.55,113.49,110.54,113.51,102.43,115.44,101.27,107.63,105.08,118.14,115.38
"2023. 12",112.25,121.60,105.46,113.54,110.69,114.09,102.46,113.99,101.28,107.88,105.09,118.73,115.73
"2024. 01",112.60,122.89,104.73,113.66,110.64,113.96,103.57,113.18,101.28,107.74,105.55,119.02,118.27
"2024. 02",113.07,124.39,104.79,113.65,110.84,114.03,103.70,114.44,101.28,109.00,105.76,119.22,118.29
"2024. 03",113.02,124.46,105.05,113.70,110.17,114.85,103.94,114.34,101.28,108.17,106.26,119.60,118.56
"2024. 04",113.37,123.67,105.29,113.63,110.97,114.96,103.97,115.12,101.28,108.93,106.67,120.18,119.01
"2024. 05",113.42,122.67,105.12,114.29,110.89,114.81,104.16,115.78,101.36,109.29,106.84,120.55,119.15
"2024. 06",113.17,120.92,105.17,114.29,111.00,114.69,104.04,114.52,101.37,109.21,106.86,120.75,119.67
